"Name"."Localized_name"."Description"."Color"."Mode_color"."Color_policy"."Physical_pen_number"."Virtual_pen_number"."Screen"."Linepattern_size"."Linetype"."Adaptive_linetype"."Lineweight"."Fill_style"."End_style"."Join_style"
"Color_064","Color_64","Description_64","Color 7","0,0,0","none","64","64","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_065","Color_65","Description_65","Color 7","0,0,0","none","65","65","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_066","Color_66","Description_66","Color 7","0,0,0","none","66","66","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_067","Color_67","Description_67","Color 7","0,0,0","none","67","67","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_068","Color_68","Description_68","Color 7","0,0,0","none","68","68","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_069","Color_69","Description_69","Color 7","0,0,0","none","69","69","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_070","Color_70","Description_70","Color 7","0,0,0","none","70","70","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_071","Color_71","Description_71","Color 7","0,0,0","none","71","71","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_072","Color_72","Description_72","Color 7","0,0,0","none","72","72","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_073","Color_73","Description_73","Color 7","0,0,0","none","73","73","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_074","Color_74","Description_74","Color 7","0,0,0","none","74","74","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_075","Color_75","Description_75","Color 7","0,0,0","none","75","75","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_076","Color_76","Description_76","Color 7","0,0,0","none","76","76","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
"Color_077","Color_77","Description_77","Color 7","0,0,0","none","77","77","100","0.5","(Object)","FALSE","0.0381","(Object)","(Object)","(Object)"
